Company,Address,TIFDistrict,CompletionDate,ActualCosts,ActualGrant,WorkItems
Mom's & Dad's Deli (sole proprietorship),6345 S. Central Ave.,Archer/Central,09/25/2015,109064.06,81798.05,"roofing over existed modified bitumen system with new gutters and downspouts; masonry repairs to building exterior (tuck pointing of east, south, and west elevations; remove deteriorated brick on west/façade elevation and rebuild using new bricks that match original per City Design Guidelines; new storefront windows, frames, and door; replace existing bathroom fixtures (toilets, faucets, ADA grab bars) for two bathrooms; new VCT flooring; clean and repair existing VCT flooring where needed; renovations to kitchen plumbing (including grease trap and sewer lines); carpentry to patch wall cracks and install laminate-type counter system; installation of FRP panels on walls; install fire-rated metal door to kitchen; carpentry to reduce window openings; install new track lighting and associated electrical; painting; remove and replace existing HVAC condensers with new condensers; electrical work to install new power outlets and wiring for HVAC work as required"
"A-Korn Roller, Inc.",3545 S. Morgan St.,35th/Halsted,09/30/2015,119917.00,59958.50,complete roofing replacement for three (3) sections of roof at 3545 S. Morgan: demolition; install new insulation; install recovery board and TPO roofing membrane; reinstall existing skylights; install urethane sealant; and install new gutters and downspouts
Feim Azizi,4300 N. Western Ave.,Western Avenue (South),10/01/2015,47075.00,35306.25,"demolition (canopy, stucco façade, gutters, fascia, roofing, walls); install new window and door openings; new roofing; new gypsum board and insulation for exterior as well as new fiber cement siding; new gutters; new limestone below storefront frames and new limestone sills; new storefront system; painting and ceiling tile replacement in commercial space; and structural repair to southeast entry"
Applied Hydraulics Corporation,944 N. Spaulding Ave.,Division/Homan,10/01/2015,286263.28,140488.63,"new HVAC system for office and associated duct work; installation of new lighting and electrical system (400 amp service panels, energy efficient T8 lighting, can lighting, exit signage, outlets, switches, and exterior lights); repairs to garage doors and installation of new openers; new doors (materials and hardware); install new TPO roof system; permanent security system items (cameras and electrical); installation of a photovoltaic solar electrical system; tuck pointing and brick up of window opening; installation of glass block windows; demolition, framing, drywall, and primer at second floor; and new commercial windows"
His & Hers Barber and Beauty Salon,2102 S. Pulaski Rd.,Ogden/Pulaski,10/01/2015,5117.50,3838.13,balance of electrical for commercial and basement areas
"Cosmopolitan Continental Cafe, Inc. dba Lutnia Restaurant",5532 W. Belmont Ave.,Belmont/Central,10/02/2015,16000.00,12000.00,repairs to interior ceilings and walls; new interior light fixtures
Nasser Diab (Landlord - 1654-58 E. 87th),1658 E. 87th St.,Stony Island/Burnside,10/05/2015,15323.00,11492.25,"installation of a hot water tank; installation of high efficiency furnace and two (2) air conditioning units, new ductwork, and all necessary gas and electrical piping and connections"
"Boulevard Bikes, LLC",2535 N. Kedzie Blvd. #1,Fullerton/Milwaukee,10/05/2015,7962.00,5971.50,"furnish and install a new storefront system (frames, glass, door)"
"UA Fitness, LLC dba Urban Athlete",4710 N. Ravenswood Ave.,Ravenswood Industrial Corridor ,10/05/2015,354869.55,50000.00,"a complete rehabilitation for new fitness center including installation of a new storefront system including framing, glass windows and doors; exterior and interior masonry repairs for storefront opening and sealing of interior brick; concrete work to level floors; new steel and metal framing for interior layout; carpentry and millwork, drywall throughout and installation of acoustical ceiling tiles above locker rooms; installation of fire alarm and sprinkler systems; mechanical HVAC improvements including new ductwork, registers, and exhausts; rough and finish electrical work (light fixtures not included); painting and finishing work"
"Inner City Youth and Adult Foundation, Inc.",4500 S. Michigan Ave.,47th/King,10/07/2015,25293.08,14541.66,furnish and install new vinyl windows with double insulated glass; materials expenses related to the project
"Global Choices, Inc.",4535 W. Addison St.,Portage Park,10/14/2015,150700.00,75350.00,"roof replacement including tear off, decking repairs, new insulation, installation of new TPO membrane, new drains and vents; and replacement of three (3) rooftop HVAC condenser units with three (3) Energy Star rated units"
"Basa Projects, LLC",2912 N. Milwaukee Ave.,Fullerton/Milwaukee,10/14/2015,23630.00,17391.00,"furnish and install a new commercial storefront system for 2912 N. Milwaukee (frames, glass, doors); exterior electrical work for light fixture and security camera (fixture and camera materials not included); demolition of aluminum paneling covering window frames; replace damaged wood at storefront as needed; labor to replace base terra cotta panel with like-kind replacement (materials not included) and re-grout terra cotta tiles at bottom of storefront windows; priming and painting of lintels, window frames, and aluminum panels at entry overhang"
Justin Blair & Company,4500 W. 31st St.,Little Village,10/16/2015,370830.00,68149.00,demolition of existing roofing system and installation of new roofing system for 4500 W. 31st St. including repairs to roof drains and installation of new flashings
"Kiddieland Educational Center for Excellence II, Inc.",5142 W. Belmont Ave.,Belmont/Central,10/16/2015,292980.00,100000.00,"construct new partition walls for three classrooms and install insulation and drywall; frame new openings for six (6) interior pass through windows in walls; install new baseboards in the new classrooms; plumbing work to furnish and install new cast iron drains; install new hot and cold water lines; install new natural gas service in laundry room and to rooftop units; install new high efficiency 50-gallon hot water tank; electrical work to install new 400 amp service for facility; install new outlets, switches, and T8 and can-style light fixtures throughout new classrooms, kitchen, dining area, bathrooms, and office areas; install owner-supplied security cameras and intercom system (labor only, materials expenses not included); install fire alarm system; HVAC work to furnish and install two (2) new rooftop HVAC units and associated electrical, duct work, and exhaust; repair and replace (as needed) drop ceiling tiles; furnish and install five (5) fire-rated doors and two (2) exterior aluminum commercial doors; prepare concrete subfloor and install approximately 3,500 square feet of ceramic tile flooring throughout facility; demolish old façade; install a new storefront (replace limestone, frames and glass to install eight (8) new storefront windows); install new façade elements; install five (5) casement windows and two (2) picture windows along perimeter; tuck point and reseal exterior masonry as needed; and install new roof with insulation"
"La Michoacana, Inc. dba La Michoacana Ice Cream Shop",6610 S. Pulaski Rd.,63rd/Pulaski,10/16/2015,55000.00,41250.00,"plumbing work, electrical system upgrades, installation of insulation, drywall, ceiling, tile flooring, wall tiles, and duct work. "
"HT International, Inc. dba Wealth Logic Solutions",4606 N. Western Ave.,Western Avenue (North),10/19/2015,44800.00,33600.00,"remove flashing from north, east, and south parapet walls on main building and including walls above garage; remove copings on east wall and remove existing parapet down to roof line; rebuild parapet wall with common bricks; mortar for new bricks; install modified bitumen flashing and coat with aluminum; remove existing gutters, flashing, and siding on east wall above garage; install new ice and water shield, steel flashing, insulation; install new siding; and realign existing gutters and downspouts"
"Windy City Greens, LLC",1200 W. Cermak Rd. 2nd Floor/Ste. 210,Pilsen Industrial Corridor,10/19/2015,116935.00,58467.50,"furnish and install four (4) 10-ton energy-efficient rooftop HVAC units and associated duct work, roofing, and thermostat and economizer installation; furnish and install 4-ton unit and associated duct work and control expenses; furnish and install four (4) fresh air intake dampers, four (4) side mount industrial exhaust ventilators, and controls; architectural services; engineering services; and permit expediting"
"HT International, Inc. dba Wealth Logic Solutions",4606 N. Western Ave.,Western Avenue (North),10/19/2015,2645.00,1462.50,"the balance of expenses related to: remove flashing from north, east, and south parapet walls on main building and including walls above garage; remove copings on east wall and remove existing parapet down to roof line; rebuild parapet wall with common bricks; mortar for new bricks; install modified bitumen flashing and coat with aluminum; remove existing gutters, flashing, and siding on east wall above garage; install new ice and water shield, steel flashing, insulation; install new siding; and realign existing gutters and downspouts"
"5621 W. Irving Park, Inc. dba Inter Auto Glass",5621 W. Irving Park Rd.,West Irving Park,10/20/2015,56100.00,42075.00,"roofing repairs; concrete repairs to front entryway; remove existing flooring in garage/service area, install new cast iron underground plumbing and drains, and enclose with new concrete slab; install new vinyl tile flooring to replaced damaged flooring in storage area; install new overhead doors and associated electrical work"
Crystal's Unisex,1850 W. 47th St.,47th/Ashland,10/20/2015,59575.00,44681.25,"installation of a new storefront system (frames, glass windows and doors); removal and replacement of commercial heating and forced air systems; electrical service work including replacement of panel, new conduit and wiring; removal of drop ceiling and restoration of original ceiling; new drywall; new soffits around ductwork; plumbing work connected to salon fixtures (fixtures not included); painting and finish work"
